cod_modelo_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
81_1034451,,,,,,17,34,1,,,
81_1034525,,,,,,17,34,1,,,
81_1035318,,,,,5,,,,,,
81_1035321,,,,,5,,,,,,
81_1035361,,,,,5,7,,,,,
81_1035377,,,,,5,7,,,,,
81_1035381,,,,,5,7,,,,,
81_1035406,,,,,5,,,,,,
81_1035413,,,,,3,,,,,,
81_1035440,,,,,3,,,,,,
81_1035532,,,,,3,,,,,,
81_1038074,,,,,,26,37,,,,
81_1038076,,,,,10,,37,,,,
81_1038110,,,,,10,,,,,,
81_1038192,,,,,,26,,,,,
81_1038203,,,,,10,,37,,,,
81_1038212,,,,,,26,37,,,,
81_1038269,,,,,10,,37,,,,
81_1038277,,,,,,26,,,,,
81_1038307,,,,,10,,,,,,
81_1038320,,,,,,26,37,,,,
81_1038327,,,,,10,,37,,,,
81_1038354,,,,,,26,37,,,,
81_1038372,,,,,10,,,,,,
81_1038394,,,,,,26,,,,,
81_1038536,,,,,,26,34,1,,,
81_1038554,,,,,,26,34,1,,,
81_1039772,,,,,3,,,,,,
81_1043037,,,,,,17,34,1,,,
81_1043067,,,,,3,,,,,,
81_1043504,,,,,10,,34,,,,
81_1043506,,,,,10,,1,,,,
81_1043518,,,,,10,,34,,,,
81_1043546,,,,,10,,1,,,,
81_1043550,,,,,10,,34,,,,
81_1043570,,,,,10,,37,,,,
81_1043597,,,,,10,,34,,,,
81_1043602,,,,,10,,34,,,,
81_1043614,,,,,10,,37,,,,
81_1043667,,,,,10,,1,,,,
81_1043673,,,,,10,,1,,,,
81_1043689,,,,,10,,34,,,,
81_1043705,,,,,10,,34,,,,
81_1043718,,,,,10,,34,,,,
81_1043769,,,,,10,,34,,,,
81_1043771,,,,,10,,1,,,,
81_1043805,,,,,10,,34,,,,
81_1043810,,,,,10,,23,,,,
81_1043834,,,,,10,,34,,,,
81_1043855,,,,,10,,1,,,,
81_1043866,,,,,10,,34,,,,
81_1044215,,,,,,21,,1,,,
81_1044222,,,,,10,,34,,,,
81_1044266,,,,,,26,37,2,,,
81_1044295,,,,,10,,34,,,,
81_1044391,,,,,10,,34,,,,
81_1044455,,,,,10,,34,,,,
81_1044475,,,,,,12,37,2,,,
81_1044548,,,,,10,,34,,,,
81_1044551,,,,,,21,,1,,,
81_1044746,,,,,10,,34,,,,
81_1044779,,,,,,21,,1,,,
81_1044844,,,,,,26,37,2,,,
81_1044847,,,,,,26,25,2,,,
81_1044849,,,,,,26,37,,,,
81_1044852,,,,,,26,34,2,,,
81_1044856,,,,1,,26,,1,,,
81_1044872,,,,,,26,37,2,,,
81_1044889,,,,,,12,37,2,,,
81_1044912,,,,,,26,25,2,,,
81_1044915,,,,,4,,34,,,,
81_1044918,,,,,,17,34,1,,,
81_1044923,,,,,,17,34,1,,,
81_1044953,,,,,5,,,,,,
81_1044957,,,,1,,5,,1,,,
81_1044958,,,,1,,5,,2,,,
81_1044962,,,,,,26,37,2,,,
81_1044964,,,,,,26,37,,,,
81_1044987,,,,,,26,25,2,,,
81_1044996,,,,,,26,37,2,,,
81_1045005,,,,,10,,34,,,,
81_1045007,,,,,,26,37,2,,,
81_1045013,,,,,10,,,,,,
81_1045016,,,,,,,1,,,,
81_1045017,,,,,,26,,,,,
