cod_modelo_color,des_filename,cod_color,des_color,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,attribute_name,test_id
88_49714943,88_49714943_67052531-56_.jpg,56,NAVY,Male,Kids,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49714943_waist_type
88_49725582,88_49725582_67027119-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49725582_waist_type
88_49729516,88_49729516_67079052-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49729516_waist_type
88_49725809,88_49725809_67076331-40_.jpg,40,VERDE PASTEL,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49725809_waist_type
88_49729345,88_49729345_67097135-30_.jpg,30,MARRON,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49729345_waist_type
88_49711377,88_49711377_67090421-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49711377_waist_type
88_49731352,88_49731352_67057913-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49731352_waist_type
88_49708306,88_49708306_67000652-30_.jpg,30,MARRON,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49708306_waist_type
88_49714952,88_49714952_67062916-99_.jpg,99,NEGRO,Female,Teen,KIDS,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49714952_waist_type
88_49715355,88_49715355_67043688-01_B.jpg,01,BLANCO,Female,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49715355_waist_type
88_49719894,88_49719894_67044783-56_.jpg,56,NAVY,Male,Kids,KIDS,CIRCULAR,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49719894_waist_type
88_49723899,88_49723899_67094062-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49723899_waist_type
88_49717859,88_49717859_67024033-02_.jpg,02,OFFWHITE,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717859_waist_type
88_49710198,88_49710198_67010381-TO_.jpg,TO,TEJANO OSCURO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710198_waist_type
88_49712243,88_49712243_67080655-08_.jpg,08,BEIGE,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49712243_waist_type
88_49705923,88_49705923_67030258-05_.jpg,05,CRUDO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49705923_waist_type
88_49718157,88_49718157_67065978-TM_.jpg,TM,TEJANO MEDIO,Male,Adult,MAN,JEANS,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49718157_waist_type
88_49727331,88_49727331_67064073-35_.jpg,35,TOPO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49727331_waist_type
88_49720738,88_49720738_67043697-99_B.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49720738_waist_type
88_49722492,88_49722492_67075741-DC_.jpg,DC,DIRTY CLARO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49722492_waist_type
88_49713370,88_49713370_67031009-43_.jpg,43,VERDE,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49713370_waist_type
88_49710196,88_49710196_67010272-TN_.jpg,TN,TEJANO NEGRO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710196_waist_type
88_49716825,88_49716825_67035978-31_.jpg,31,TABACO,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49716825_waist_type
88_49734821,88_49734821_67028661-09_.jpg,09,CAMEL,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49734821_waist_type
88_49706424,88_49706424_67040261-TN_.jpg,TN,TEJANO NEGRO,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49706424_waist_type
88_49717333,88_49717333_67095137-57_.jpg,57,AZUL NOCHE,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717333_waist_type
88_49719352,88_49719352_67064029-92_.jpg,92,GRIS,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49719352_waist_type
88_49708697,88_49708697_67050337-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49708697_waist_type
88_49733672,88_49733672_67059229-01_.jpg,01,BLANCO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49733672_waist_type
88_49712600,88_49712600_67070661-TN_B.jpg,TN,TEJANO NEGRO,Male,Baby,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49712600_waist_type
88_49716832,88_49716832_67056724-10_.jpg,10,VAINILLA,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49716832_waist_type
88_49713908,88_49713908_67030467-TN_B.jpg,TN,TEJANO NEGRO,Female,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49713908_waist_type
88_49722515,88_49722515_67097112-06_.jpg,06,PIEDRA,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49722515_waist_type
88_49726828,88_49726828_67054480-DO_.jpg,DO,DIRTY OSCURO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49726828_waist_type
88_49709385,88_49709385_67010354-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49709385_waist_type
88_49709374,88_49709374_67000351-02_.jpg,02,OFFWHITE,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49709374_waist_type
88_49727536,88_49727536_67057910-69_.jpg,69,MARINO,Female,Young,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49727536_waist_type
88_49708308,88_49708308_67000654-78_.jpg,78,BURDEOS,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49708308_waist_type
88_49727349,88_49727349_67077121-55_.jpg,55,TINTA,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49727349_waist_type
88_49710400,88_49710400_67010384-TN_.jpg,TN,TEJANO NEGRO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710400_waist_type
88_49717272,88_49717272_67014449-TO_.jpg,TO,TEJANO OSCURO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717272_waist_type
88_49710502,88_49710502_67940378-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710502_waist_type
88_49720926,88_49720926_67064468-TM_.jpg,TM,TEJANO MEDIO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49720926_waist_type
88_49709828,88_49709828_67030620-TM_.jpg,TM,TEJANO MEDIO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49709828_waist_type
88_49714096,88_49714096_67052909-99_.jpg,99,NEGRO,Female,Teen,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49714096_waist_type
88_49713951,88_49713951_67080463-TC_B.jpg,TC,TEJANO CLARO,Female,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49713951_waist_type
88_49713383,88_49713383_67043265-07_.jpg,07,ARENA,Female,Adult,WOMAN,TRICOT,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49713383_waist_type
88_49713089,88_49713089_67080664-TM_.jpg,TM,TEJANO MEDIO,Male,Baby,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49713089_waist_type
88_49729945,88_49729945_67087711-50_.jpg,50,CELESTE,Female,Teen,KIDS,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49729945_waist_type
88_49719132,88_49719132_67075725-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49719132_waist_type
88_49717988,88_49717988_67090479-TS_.jpg,TS,TEJANO SOFT,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717988_waist_type
88_49720270,88_49720270_67005997-TS_B.jpg,TS,TEJANO SOFT,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49720270_waist_type
88_49722765,88_49722765_67094474-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49722765_waist_type
88_49729737,88_49729737_67025753-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49729737_waist_type
88_49732664,88_49732664_67077922-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49732664_waist_type
88_49719121,88_49719121_67055726-10_.jpg,10,VAINILLA,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49719121_waist_type
88_49714941,88_49714941_67052531-17_B.jpg,17,CARAMELO,Male,Kids,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49714941_waist_type
88_49719921,88_49719921_67054451-56_B.jpg,56,NAVY,Male,Kids,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49719921_waist_type
88_49722766,88_49722766_67094475-08_.jpg,08,BEIGE,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49722766_waist_type
88_49706231,88_49706231_67020258-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49706231_waist_type
88_49727790,88_49727790_67087126-07_.jpg,07,ARENA,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49727790_waist_type
88_49719982,88_49719982_67074456-94_B.jpg,94,GRIS MEDIO VIGORE,Male,Kids,KIDS,CIRCULAR,Bottoms,Trousers & leggings,Leggings and joggers,Joggers,waist_type,88_49719982_waist_type
88_49722606,88_49722606_67015745-09_.jpg,09,CAMEL,Female,Adult,WOMAN,JEANS,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49722606_waist_type
88_49714707,88_49714707_67052530-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49714707_waist_type
88_49725619,88_49725619_67067118-TN_.jpg,TN,TEJANO NEGRO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49725619_waist_type
88_49715190,88_49715190_67061505-TG_B.jpg,TG,TEJANO GRIS,Male,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49715190_waist_type
88_49713925,88_49713925_67042913-TO_.jpg,TO,TEJANO OSCURO,Female,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49713925_waist_type
88_49714709,88_49714709_67056311-37_.jpg,37,KHAKI,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49714709_waist_type
88_49714899,88_49714899_67010680-01_.jpg,01,BLANCO,Male,Teen,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49714899_waist_type
88_49727609,88_49727609_67026047-BL_.jpg,BL,BLEACH,Female,Teen,KIDS,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49727609_waist_type
88_49719266,88_49719266_67024034-TU_.jpg,TU,TEJANO GRIS OSCURO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49719266_waist_type
88_49726814,88_49726814_67046332-06_.jpg,06,PIEDRA,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49726814_waist_type
88_49722738,88_49722738_67084474-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49722738_waist_type
88_49719698,88_49719698_67084463-03_B.jpg,03,HIELO,Male,Baby,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49719698_waist_type
88_49717041,88_49717041_67066724-39_.jpg,39,DARK CAZA,Male,Adult,MAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49717041_waist_type
88_49713835,88_49713835_67084440-99_.jpg,99,NEGRO,Female,Teen,KIDS,TRICOT,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49713835_waist_type
88_49726152,88_49726152_67066329-TC_.jpg,TC,TEJANO CLARO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49726152_waist_type
88_49710205,88_49710205_67010639-TU_.jpg,TU,TEJANO GRIS OSCURO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710205_waist_type
88_49714742,88_49714742_67094013-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49714742_waist_type
88_49724245,88_49724245_67076023-02_.jpg,02,OFFWHITE,Female,Teen,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49724245_waist_type
