cod_modelo_color,cod_color,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename,des_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
83_1137778,37,Male,Adult,MAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,83_1137778_17014765-37_.jpg,KHAKI,,6.0,,,10.0,31.0,34.0,2.0,,,1.0
82_1100811,08,Female,Adult,WOMAN,LEATHER,Outerwear,Jackets and Blazers,Blazers,Blazer,82_1100811_87095655-08_.jpg,BEIGE,,1.0,,,10.0,22.0,27.0,2.0,,,2.0
86_1225786,05,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,86_1225786_47027115-05_.jpg,CRUDO,,,,,5.0,,28.0,,,1.0,1.0
86_1205218,95,Female,Teen,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,86_1205218_47010138-95_.jpg,ANTRACITA,,,,,10.0,31.0,34.0,1.0,,,1.0
81_1072833,56,Male,Adult,MAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,81_1072833_77097618-56_.jpg,NAVY,,,,2.0,,1.0,,2.0,,,
85_1182660,88,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,85_1182660_37010467-88_.jpg,FUCSIA,,6.0,,,8.0,24.0,20.0,3.0,,,1.0
86_1216288,06,Female,Adult,WOMAN,WOVEN,Outerwear,Coats and Parkas,Coats,Coat,86_1216288_47041281-06_.jpg,PIEDRA,,1.0,,,5.0,9.0,34.0,2.0,,,2.0
82_1110242,91,Male,Adult,MAN,TRICOT,Tops,T-shirts,Poloshirts,Poloshirt,82_1110242_87005678-91_.jpg,GRIS CLARO VIGORE,,4.0,,1.0,10.0,25.0,32.0,2.0,,,
84_1168479,41,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1168479_27057727-41_.jpg,MENTA,,,,,10.0,31.0,32.0,1.0,,,1.0
85_1183777,TC,Female,Adult,WOMAN,JEANS,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,85_1183777_37050459-TC_.jpg,TEJANO CLARO,,5.0,,,3.0,16.0,32.0,5.0,,,3.0
83_1143956,76,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,83_1143956_17075940-76_.jpg,GRANATE,,6.0,,1.0,5.0,27.0,32.0,2.0,,,
83_1136723,50,Female,Adult,WOMAN,CIRCULAR,Tops,Tops,Tops,Top,83_1136723_17092025-50_.jpg,CELESTE,,,,,4.0,31.0,32.0,3.0,,,1.0
