test_id,des_value
82_1068720_silhouette_type,INVALID
82_1096597_silhouette_type,INVALID
83_1132049_silhouette_type,INVALID
85_1174931_silhouette_type,Evase
81_1076122_silhouette_type,INVALID
85_1190018_silhouette_type,INVALID
81_1072102_silhouette_type,Cargo
82_1092488_silhouette_type,INVALID
81_1063719_silhouette_type,INVALID
85_1197366_silhouette_type,INVALID
84_1161320_silhouette_type,Cargo
82_1080108_silhouette_type,Culotte
82_1119139_silhouette_type,Culotte
85_1183838_silhouette_type,INVALID
86_1227740_silhouette_type,Evase
84_1169631_silhouette_type,Culotte
85_1180784_silhouette_type,Acampanado/Flare
83_1109281_silhouette_type,Acampanado/Bootcut
83_1157269_silhouette_type,INVALID
84_1176850_silhouette_type,INVALID
83_1127376_silhouette_type,INVALID
85_1187254_silhouette_type,Bandeau
86_1222525_silhouette_type,Evase
86_1204232_silhouette_type,Palazzo
86_1215969_silhouette_type,INVALID
81_1057633_silhouette_type,INVALID
86_1215157_silhouette_type,Boyfriend
83_1123419_silhouette_type,Boyfriend
85_1203159_silhouette_type,Culotte
84_1155793_silhouette_type,Bandeau
81_1052152_silhouette_type,INVALID
86_1209362_silhouette_type,Cargo
83_1139795_silhouette_type,Cargo
85_1196042_silhouette_type,Cargo
86_1207417_silhouette_type,INVALID
83_1120220_silhouette_type,5 Bolsillos
84_1165309_silhouette_type,Culotte
83_1154014_silhouette_type,Boyfriend
83_1121324_silhouette_type,INVALID
85_1180466_silhouette_type,Evase
82_1114636_silhouette_type,INVALID
82_1104708_silhouette_type,INVALID
84_1169382_silhouette_type,INVALID
82_1112138_silhouette_type,INVALID
83_1145297_silhouette_type,Cargo
84_1159671_silhouette_type,INVALID
82_1123536_silhouette_type,Oversize
82_1123265_silhouette_type,Cargo
81_1057787_silhouette_type,INVALID
86_1205696_silhouette_type,Cargo
85_1202154_silhouette_type,INVALID
81_1051950_silhouette_type,Lápiz
81_1066148_silhouette_type,INVALID
82_1115388_silhouette_type,Oversize
86_1225790_silhouette_type,INVALID
83_1130248_silhouette_type,Bandeau
84_1175933_silhouette_type,INVALID
86_1217346_silhouette_type,Acampanado/Flare
84_1148273_silhouette_type,INVALID
85_1183182_silhouette_type,INVALID
82_1096849_silhouette_type,Culotte
85_1181768_silhouette_type,Lápiz
86_1217639_silhouette_type,INVALID
86_1217654_silhouette_type,Boyfriend
86_1227387_silhouette_type,Evase
83_1120718_silhouette_type,INVALID
83_1148421_silhouette_type,INVALID
83_1113144_silhouette_type,Lápiz
86_1209423_silhouette_type,INVALID
86_1210520_silhouette_type,5 Bolsillos
84_1175767_silhouette_type,INVALID
82_1103067_silhouette_type,INVALID
82_1089208_silhouette_type,Oversize
86_1215066_silhouette_type,Oversize
85_1182014_silhouette_type,Bandeau
83_1133708_silhouette_type,INVALID
84_1160413_silhouette_type,INVALID
83_1147199_silhouette_type,INVALID
83_1139770_silhouette_type,Cargo
84_1157588_silhouette_type,INVALID
81_1062046_silhouette_type,INVALID
85_1201907_silhouette_type,INVALID
85_1201588_silhouette_type,Cargo
85_1189935_silhouette_type,INVALID
85_1175942_silhouette_type,INVALID
86_1217634_silhouette_type,INVALID
83_1109348_silhouette_type,Acampanado/Bootcut
81_1066705_silhouette_type,INVALID
84_1176889_silhouette_type,INVALID
83_1133859_silhouette_type,INVALID
84_1188484_silhouette_type,INVALID
82_1108553_silhouette_type,Oversize
84_1173607_silhouette_type,INVALID
83_1137028_silhouette_type,INVALID
85_1188276_silhouette_type,Oversize
82_1107620_silhouette_type,INVALID
84_1171305_silhouette_type,Culotte
84_1149929_silhouette_type,Culotte
86_1218715_silhouette_type,Cargo
82_1103014_silhouette_type,Culotte
83_1136417_silhouette_type,INVALID
85_1199003_silhouette_type,INVALID
82_1113480_silhouette_type,INVALID
82_1104548_silhouette_type,INVALID
82_1085632_silhouette_type,INVALID
84_1155064_silhouette_type,INVALID
81_1057094_silhouette_type,INVALID
85_1207610_silhouette_type,INVALID
85_1188703_silhouette_type,INVALID
86_1214437_silhouette_type,Cargo
85_1198160_silhouette_type,Boyfriend
86_8484133_silhouette_type,Lápiz
84_1156808_silhouette_type,INVALID
83_1150441_silhouette_type,Cargo
84_1167258_silhouette_type,INVALID
81_1079233_silhouette_type,INVALID
82_1127138_silhouette_type,INVALID
84_1176562_silhouette_type,INVALID
85_1192986_silhouette_type,Culotte
85_1189746_silhouette_type,INVALID
81_1076326_silhouette_type,INVALID
84_1157494_silhouette_type,Culotte
85_1192065_silhouette_type,INVALID
82_1134330_silhouette_type,INVALID
83_1131844_silhouette_type,INVALID
85_1187885_silhouette_type,INVALID
81_1079851_silhouette_type,INVALID
86_3451281_silhouette_type,INVALID
84_1185482_silhouette_type,INVALID
86_1222215_silhouette_type,INVALID
85_1191971_silhouette_type,INVALID
83_1123504_silhouette_type,Evase
84_1165112_silhouette_type,Cargo
84_1163266_silhouette_type,5 Bolsillos
86_1223078_silhouette_type,INVALID
86_18748228_silhouette_type,Oversize
86_1209282_silhouette_type,Evase
86_1205261_silhouette_type,INVALID
86_1225655_silhouette_type,INVALID
83_1127913_silhouette_type,INVALID
85_1185116_silhouette_type,INVALID
82_1080393_silhouette_type,INVALID
81_1071226_silhouette_type,INVALID
85_1179371_silhouette_type,Evase
84_1165363_silhouette_type,Cargo
84_1168964_silhouette_type,INVALID
85_1190199_silhouette_type,INVALID
86_1214605_silhouette_type,INVALID
86_1221353_silhouette_type,INVALID
82_1094184_silhouette_type,Cargo
85_1178866_silhouette_type,INVALID
85_1194343_silhouette_type,Evase
83_1125873_silhouette_type,INVALID
84_1164394_silhouette_type,Cargo
83_1137458_silhouette_type,Culotte
83_1123064_silhouette_type,Oversize
86_1228607_silhouette_type,Oversize
81_1078666_silhouette_type,Cargo
82_1089477_silhouette_type,INVALID
84_1150473_silhouette_type,Evase
83_1139517_silhouette_type,Culotte
83_1131738_silhouette_type,Cargo
85_1182328_silhouette_type,INVALID
86_1217204_silhouette_type,Cargo
83_1122952_silhouette_type,INVALID
83_1131920_silhouette_type,Culotte
82_1104857_silhouette_type,Oversize
82_1107637_silhouette_type,Oversize
85_1182043_silhouette_type,INVALID
83_1128279_silhouette_type,INVALID
81_1074242_silhouette_type,Bandeau
81_1045836_silhouette_type,Evase
84_1184359_silhouette_type,Culotte
82_1097341_silhouette_type,Evase
86_1223040_silhouette_type,INVALID
83_1138642_silhouette_type,Cargo
84_1166145_silhouette_type,INVALID
84_1166233_silhouette_type,INVALID
81_1074699_silhouette_type,INVALID
83_16897777_silhouette_type,INVALID
82_1103486_silhouette_type,INVALID
86_1212189_silhouette_type,Evase
83_1115459_silhouette_type,INVALID
84_1156190_silhouette_type,INVALID
83_1127935_silhouette_type,INVALID
81_1063732_silhouette_type,INVALID
82_1085104_silhouette_type,INVALID
85_1201282_silhouette_type,INVALID
84_1170670_silhouette_type,Oversize
83_1138675_silhouette_type,Ancho
82_1103328_silhouette_type,INVALID
82_1110358_silhouette_type,Culotte
81_1044958_silhouette_type,Evase
85_1210481_silhouette_type,INVALID
84_1161110_silhouette_type,INVALID
86_1225561_silhouette_type,Oversize
85_1191360_silhouette_type,Culotte
84_1154499_silhouette_type,INVALID
84_1159603_silhouette_type,INVALID
85_1195690_silhouette_type,INVALID
85_1189536_silhouette_type,Culotte
84_1173116_silhouette_type,Cargo
86_1211762_silhouette_type,INVALID
83_1138537_silhouette_type,INVALID
81_1072202_silhouette_type,INVALID
85_1208624_silhouette_type,Cargo
84_1171375_silhouette_type,Boyfriend
83_1125012_silhouette_type,INVALID
85_1193163_silhouette_type,INVALID
81_1063992_silhouette_type,Culotte
86_1209513_silhouette_type,Culotte
81_1077454_silhouette_type,INVALID
83_1126431_silhouette_type,INVALID
82_1074851_silhouette_type,INVALID
85_1180587_silhouette_type,INVALID
83_1134207_silhouette_type,INVALID
86_1212617_silhouette_type,INVALID
84_1158665_silhouette_type,Culotte
83_1119047_silhouette_type,Oversize
84_1163765_silhouette_type,INVALID
83_1126225_silhouette_type,Evase
83_1119221_silhouette_type,Cargo
82_1087346_silhouette_type,Evase
82_1116305_silhouette_type,Evase
84_1146760_silhouette_type,INVALID
83_1116217_silhouette_type,Culotte
85_1187887_silhouette_type,Cargo
84_1155629_silhouette_type,Cargo
83_1123953_silhouette_type,Oversize
81_1066699_silhouette_type,INVALID
85_1195167_silhouette_type,Cargo
81_1061877_silhouette_type,INVALID
86_1212623_silhouette_type,INVALID
85_1189968_silhouette_type,Mom
83_1121176_silhouette_type,INVALID
84_1183112_silhouette_type,Culotte
84_1154432_silhouette_type,INVALID
86_1221552_silhouette_type,Oversize
84_1161878_silhouette_type,Cargo
85_1182081_silhouette_type,INVALID
84_1177518_silhouette_type,INVALID
83_1132230_silhouette_type,Oversize
83_1117506_silhouette_type,INVALID
86_1210151_silhouette_type,INVALID
82_1103969_silhouette_type,INVALID
85_1200800_silhouette_type,Oversize
83_1137624_silhouette_type,Halter
84_1157532_silhouette_type,INVALID
82_1087327_silhouette_type,5 Bolsillos
82_1098158_silhouette_type,INVALID
81_1072098_silhouette_type,INVALID
85_1204059_silhouette_type,Bandeau
82_1096316_silhouette_type,Culotte
81_1069007_silhouette_type,Cargo
84_1176001_silhouette_type,INVALID
85_1187541_silhouette_type,INVALID
83_1133490_silhouette_type,INVALID
83_1121273_silhouette_type,Evase
82_1085072_silhouette_type,INVALID
82_1112382_silhouette_type,INVALID
84_1170617_silhouette_type,INVALID
85_1210686_silhouette_type,INVALID
86_1209842_silhouette_type,INVALID
85_1181997_silhouette_type,INVALID
85_1200289_silhouette_type,INVALID
86_1222615_silhouette_type,INVALID
83_1149773_silhouette_type,Cargo
81_1070719_silhouette_type,Culotte
82_1095796_silhouette_type,Evase
83_1113774_silhouette_type,INVALID
85_1195684_silhouette_type,Culotte
82_1100503_silhouette_type,Boyfriend
81_1055560_silhouette_type,INVALID
81_1051878_silhouette_type,INVALID
86_1207501_silhouette_type,Fino
85_1198343_silhouette_type,Oversize
81_1081399_silhouette_type,Oversize
81_1071728_silhouette_type,Recto
86_1224731_silhouette_type,Oversize
85_1190321_silhouette_type,INVALID
84_1184013_silhouette_type,INVALID
86_1209407_silhouette_type,Cargo
84_1180442_silhouette_type,Evase
84_1165634_silhouette_type,INVALID
86_1232418_silhouette_type,Evase
86_1208858_silhouette_type,Acampanado/Flare
85_1187579_silhouette_type,Cargo
85_1194724_silhouette_type,INVALID
81_1060197_silhouette_type,INVALID
85_1199296_silhouette_type,INVALID
83_1123639_silhouette_type,INVALID
86_13410986_silhouette_type,INVALID
82_1112092_silhouette_type,INVALID
81_1079799_silhouette_type,INVALID
81_1059790_silhouette_type,Culotte
84_1164989_silhouette_type,INVALID
86_1225690_silhouette_type,INVALID
81_1070879_silhouette_type,INVALID
81_1060976_silhouette_type,INVALID
85_1202735_silhouette_type,INVALID
86_1229260_silhouette_type,INVALID
85_1203463_silhouette_type,INVALID
85_1198157_silhouette_type,Culotte
84_1163619_silhouette_type,INVALID
82_1090630_silhouette_type,INVALID
81_1078508_silhouette_type,INVALID
85_1177605_silhouette_type,Cargo
82_1108645_silhouette_type,INVALID
86_1205520_silhouette_type,INVALID
86_1215892_silhouette_type,INVALID
83_1144729_silhouette_type,Cargo
85_1187121_silhouette_type,Evase
84_1158386_silhouette_type,5 Bolsillos
86_1228891_silhouette_type,Cargo
83_1123892_silhouette_type,Culotte
84_1165131_silhouette_type,INVALID
81_1072020_silhouette_type,INVALID
82_1109481_silhouette_type,Fino
85_1204238_silhouette_type,INVALID
86_1203397_silhouette_type,INVALID
85_1191771_silhouette_type,Evase
84_1166941_silhouette_type,INVALID
82_1104652_silhouette_type,Culotte
83_1136056_silhouette_type,INVALID
82_1101536_silhouette_type,INVALID
85_1209223_silhouette_type,INVALID
82_1120929_silhouette_type,Acampanado/Flare
82_1114591_silhouette_type,Culotte
84_1154991_silhouette_type,INVALID
86_1213560_silhouette_type,Halter
83_1121311_silhouette_type,INVALID
83_1134902_silhouette_type,Modern slim
84_1156547_silhouette_type,INVALID
85_1201165_silhouette_type,INVALID
86_1786863_silhouette_type,INVALID
82_1087355_silhouette_type,5 Bolsillos
83_1109914_silhouette_type,Acampanado/Bootcut
86_1213125_silhouette_type,Jogger
83_1136047_silhouette_type,INVALID
82_1096795_silhouette_type,INVALID
84_1166865_silhouette_type,INVALID
85_1179026_silhouette_type,INVALID
84_1151550_silhouette_type,INVALID
86_1216834_silhouette_type,INVALID
82_1107203_silhouette_type,INVALID
83_1138485_silhouette_type,INVALID
83_1134172_silhouette_type,INVALID
84_1159261_silhouette_type,INVALID
84_1172915_silhouette_type,5 Bolsillos
84_1154076_silhouette_type,INVALID
85_1201611_silhouette_type,INVALID
82_1121237_silhouette_type,Boyfriend
81_1081810_silhouette_type,INVALID
85_1178226_silhouette_type,INVALID
84_1188186_silhouette_type,INVALID
81_1060762_silhouette_type,Cargo
81_1068113_silhouette_type,Boyfriend
84_1158106_silhouette_type,INVALID
86_1216026_silhouette_type,INVALID
86_1219376_silhouette_type,INVALID
84_1159408_silhouette_type,INVALID
83_1152603_silhouette_type,Culotte
83_1121242_silhouette_type,INVALID
85_1182890_silhouette_type,Evase
83_1122921_silhouette_type,Evase
84_1184981_silhouette_type,INVALID
81_1074126_silhouette_type,Evase
82_1075409_silhouette_type,Lápiz
82_1082195_silhouette_type,INVALID
85_1198156_silhouette_type,Cargo
83_1127022_silhouette_type,Evase
83_1116484_silhouette_type,INVALID
82_1113355_silhouette_type,INVALID
86_1229117_silhouette_type,INVALID
86_1220629_silhouette_type,Boyfriend
82_1085961_silhouette_type,Lápiz
82_1104470_silhouette_type,Modern slim
86_1226966_silhouette_type,INVALID
84_1156501_silhouette_type,Mom
85_1197900_silhouette_type,Evase
84_1172540_silhouette_type,Culotte
82_1103861_silhouette_type,INVALID
81_1060992_silhouette_type,Oversize
84_1159565_silhouette_type,Evase
84_1165777_silhouette_type,INVALID
86_1200419_silhouette_type,Evase
83_1120378_silhouette_type,INVALID
83_1123001_silhouette_type,Halter
85_1193873_silhouette_type,INVALID
86_1204822_silhouette_type,INVALID
86_1213351_silhouette_type,Oversize
84_1167301_silhouette_type,Culotte
84_1168074_silhouette_type,INVALID
85_1175148_silhouette_type,INVALID
85_1188948_silhouette_type,INVALID
83_1126884_silhouette_type,INVALID
86_1216109_silhouette_type,INVALID
85_1208167_silhouette_type,INVALID
84_1170613_silhouette_type,INVALID
83_1141676_silhouette_type,INVALID
82_1109189_silhouette_type,INVALID
81_1079853_silhouette_type,INVALID
82_1108164_silhouette_type,Evase
85_1180792_silhouette_type,INVALID
81_1061476_silhouette_type,INVALID
83_1159610_silhouette_type,Cargo
85_1177122_silhouette_type,INVALID
83_1131536_silhouette_type,INVALID
84_1185938_silhouette_type,Culotte
84_1163711_silhouette_type,INVALID
84_1175764_silhouette_type,Cargo
85_1185323_silhouette_type,INVALID
84_1166902_silhouette_type,Culotte
86_1222712_silhouette_type,Acampanado/Bootcut
82_1085346_silhouette_type,Evase
86_1206184_silhouette_type,Evase
86_1209530_silhouette_type,5 Bolsillos
81_1079671_silhouette_type,INVALID
85_1189107_silhouette_type,Culotte
82_1112948_silhouette_type,Cargo
81_1055766_silhouette_type,Culotte
81_1049467_silhouette_type,INVALID
85_1174546_silhouette_type,INVALID
81_1086207_silhouette_type,INVALID
84_1184560_silhouette_type,Oversize
84_1158612_silhouette_type,INVALID
83_1132923_silhouette_type,Cargo
86_1208909_silhouette_type,INVALID
86_1211152_silhouette_type,Oversize
83_1135542_silhouette_type,INVALID
82_1118434_silhouette_type,Culotte
82_1109427_silhouette_type,INVALID
83_1142282_silhouette_type,INVALID
85_1201697_silhouette_type,INVALID
84_1156896_silhouette_type,Culotte
86_1223546_silhouette_type,Mom
85_1203659_silhouette_type,Evase
82_1108951_silhouette_type,Culotte
81_1069600_silhouette_type,Bandeau
85_1187352_silhouette_type,INVALID
86_6801153_silhouette_type,INVALID
86_1218116_silhouette_type,INVALID
86_1213342_silhouette_type,Culotte
85_1194862_silhouette_type,INVALID
83_1157697_silhouette_type,Oversize
85_1188800_silhouette_type,Chino
82_1088075_silhouette_type,Acampanado/Bootcut
83_1117899_silhouette_type,INVALID
84_1171886_silhouette_type,Evase
85_1194022_silhouette_type,Cargo
81_1071878_silhouette_type,INVALID
85_1189873_silhouette_type,Acampanado/Flare
83_1129187_silhouette_type,INVALID
81_1072348_silhouette_type,INVALID
81_1051730_silhouette_type,Evase
84_1186217_silhouette_type,INVALID
82_1102354_silhouette_type,Oversize
85_1188507_silhouette_type,Oversize
85_1188083_silhouette_type,Cargo
84_1167974_silhouette_type,INVALID
82_1087388_silhouette_type,INVALID
81_1073652_silhouette_type,Cargo
85_1201934_silhouette_type,Evase
84_1178836_silhouette_type,Evase
85_1194626_silhouette_type,INVALID
86_1224786_silhouette_type,INVALID
82_1109130_silhouette_type,Oversize
81_1070325_silhouette_type,INVALID
84_1170589_silhouette_type,INVALID
82_1115390_silhouette_type,INVALID
83_1143806_silhouette_type,Boyfriend
84_1168247_silhouette_type,Acampanado/Bootcut
86_1223386_silhouette_type,Oversize
85_1197402_silhouette_type,Evase
83_1148928_silhouette_type,Cargo
83_1139433_silhouette_type,INVALID
85_1190614_silhouette_type,INVALID
82_1090572_silhouette_type,INVALID
86_1210482_silhouette_type,Lápiz
86_1224910_silhouette_type,INVALID
84_1158332_silhouette_type,INVALID
86_1226751_silhouette_type,INVALID
81_1054907_silhouette_type,INVALID
81_1052965_silhouette_type,5 Bolsillos
83_1128239_silhouette_type,INVALID
82_1096018_silhouette_type,Cargo
84_1172546_silhouette_type,INVALID
84_1149732_silhouette_type,Evase
81_1055740_silhouette_type,Culotte
82_1085940_silhouette_type,INVALID
81_1052974_silhouette_type,Oversize
86_1229064_silhouette_type,INVALID
84_1166090_silhouette_type,INVALID
85_1196186_silhouette_type,Oversize
82_1108660_silhouette_type,INVALID
86_1228515_silhouette_type,Cargo
81_1091778_silhouette_type,Lápiz
82_1111685_silhouette_type,Evase
82_1099153_silhouette_type,5 Bolsillos
85_1199410_silhouette_type,INVALID
82_1103672_silhouette_type,INVALID
85_1201689_silhouette_type,INVALID
86_1217931_silhouette_type,INVALID
83_1144913_silhouette_type,Cargo
84_1160069_silhouette_type,Evase
83_1129165_silhouette_type,Culotte
84_1140315_silhouette_type,Bandeau
83_1151838_silhouette_type,INVALID
82_1090452_silhouette_type,Cargo
84_1162227_silhouette_type,Bandeau
82_1108586_silhouette_type,INVALID
82_1111969_silhouette_type,INVALID
86_1208239_silhouette_type,Evase
81_1074033_silhouette_type,INVALID
82_1087073_silhouette_type,INVALID
86_1219577_silhouette_type,INVALID
85_1194135_silhouette_type,INVALID
86_1215970_silhouette_type,Cargo
83_1133354_silhouette_type,INVALID
84_1180853_silhouette_type,INVALID
84_1166269_silhouette_type,Cargo
81_1057603_silhouette_type,INVALID
83_1119022_silhouette_type,INVALID
84_1155353_silhouette_type,INVALID
84_1178053_silhouette_type,Acampanado/Flare
81_1058605_silhouette_type,INVALID
84_1165512_silhouette_type,INVALID
84_1155100_silhouette_type,INVALID
84_1151741_silhouette_type,Palazzo
86_1203818_silhouette_type,Acampanado/Flare
84_1182236_silhouette_type,Evase
85_1195437_silhouette_type,INVALID
83_1129873_silhouette_type,Evase
85_1177238_silhouette_type,Cargo
86_1210414_silhouette_type,Culotte
84_1157516_silhouette_type,INVALID
81_1072067_silhouette_type,INVALID
84_1157724_silhouette_type,INVALID
