test_id,des_value
82_1103519_silhouette_type,INVALID
84_1166345_silhouette_type,INVALID
84_1148915_silhouette_type,Culotte
84_1162255_silhouette_type,Cargo
83_1131278_silhouette_type,Evase
82_1109166_silhouette_type,INVALID
84_1164677_silhouette_type,INVALID
85_1193718_silhouette_type,Cargo
85_1189319_silhouette_type,INVALID
86_1221174_silhouette_type,INVALID
81_1062247_silhouette_type,Boyfriend
84_1155091_silhouette_type,INVALID
81_1065737_silhouette_type,INVALID
85_1194457_silhouette_type,Boyfriend
85_1193276_silhouette_type,INVALID
84_1150824_silhouette_type,INVALID
82_1108477_silhouette_type,Cargo
83_1135437_silhouette_type,Ancho
82_1103600_silhouette_type,INVALID
83_1141308_silhouette_type,INVALID
81_1058831_silhouette_type,Lápiz
86_1209544_silhouette_type,INVALID
81_1072067_silhouette_type,Mom
83_1133354_silhouette_type,INVALID
84_1169449_silhouette_type,INVALID
83_1118681_silhouette_type,Mom
81_1080026_silhouette_type,INVALID
81_1072691_silhouette_type,INVALID
83_1150716_silhouette_type,Cargo
85_1191982_silhouette_type,INVALID
84_1160594_silhouette_type,INVALID
86_1227842_silhouette_type,INVALID
82_1119623_silhouette_type,Culotte
82_1102241_silhouette_type,Lápiz
86_1212859_silhouette_type,Evase
83_1132328_silhouette_type,Culotte
82_1121172_silhouette_type,Cargo
83_1148597_silhouette_type,Evase
82_1087398_silhouette_type,Evase
81_1080074_silhouette_type,Fino
85_1182986_silhouette_type,Culotte
86_1227924_silhouette_type,INVALID
85_1171701_silhouette_type,INVALID
81_1080211_silhouette_type,INVALID
83_1141639_silhouette_type,INVALID
81_1074015_silhouette_type,INVALID
81_1055370_silhouette_type,INVALID
85_1189664_silhouette_type,INVALID
82_1103733_silhouette_type,Oversize
86_1220680_silhouette_type,INVALID
82_1094497_silhouette_type,INVALID
84_1163771_silhouette_type,INVALID
85_1180245_silhouette_type,Boyfriend
84_1170750_silhouette_type,Evase
83_1142629_silhouette_type,Cargo
83_1137718_silhouette_type,Evase
81_1044987_silhouette_type,Halter
84_1156204_silhouette_type,Fino
86_1223372_silhouette_type,Culotte
86_1218747_silhouette_type,Oversize
86_1230820_silhouette_type,INVALID
83_1138834_silhouette_type,INVALID
84_1169570_silhouette_type,INVALID
81_1063732_silhouette_type,INVALID
82_1107249_silhouette_type,Evase
83_1113476_silhouette_type,Lápiz
83_1146306_silhouette_type,INVALID
84_1160061_silhouette_type,Cargo
85_1196696_silhouette_type,Fino
86_1215346_silhouette_type,Evase
86_1218367_silhouette_type,INVALID
81_1070457_silhouette_type,INVALID
84_1149458_silhouette_type,INVALID
85_1197553_silhouette_type,INVALID
84_1170592_silhouette_type,Evase
85_1173758_silhouette_type,Oversize
83_1134044_silhouette_type,Culotte
83_1137856_silhouette_type,Oversize
86_1216158_silhouette_type,INVALID
82_1119320_silhouette_type,Fino
81_1053947_silhouette_type,INVALID
82_1085781_silhouette_type,Oversize
86_1219688_silhouette_type,Evase
83_1116520_silhouette_type,INVALID
84_1179756_silhouette_type,INVALID
84_1186405_silhouette_type,Cargo
82_1084842_silhouette_type,Oversize
86_1212768_silhouette_type,Evase
86_1215805_silhouette_type,INVALID
85_1204310_silhouette_type,Cargo
81_1066050_silhouette_type,INVALID
85_1180881_silhouette_type,INVALID
84_1155733_silhouette_type,Lápiz
84_1153266_silhouette_type,Fino
83_1135618_silhouette_type,INVALID
85_1203089_silhouette_type,INVALID
85_1191362_silhouette_type,INVALID
85_1181483_silhouette_type,Evase
85_1174783_silhouette_type,Bandeau
86_1226021_silhouette_type,Cargo
86_1224860_silhouette_type,Culotte
86_1227369_silhouette_type,Boyfriend
83_1121343_silhouette_type,Halter
86_1231584_silhouette_type,INVALID
82_1098818_silhouette_type,Oversize
85_1209879_silhouette_type,INVALID
85_1171608_silhouette_type,Oversize
83_1140099_silhouette_type,INVALID
86_1212596_silhouette_type,Oversize
83_1146826_silhouette_type,INVALID
85_1177220_silhouette_type,INVALID
84_1174877_silhouette_type,INVALID
81_1048803_silhouette_type,Evase
84_1154019_silhouette_type,Evase
85_1196622_silhouette_type,INVALID
85_1172943_silhouette_type,Lápiz
86_1213997_silhouette_type,INVALID
82_1112968_silhouette_type,Evase
86_1207047_silhouette_type,INVALID
82_1084446_silhouette_type,INVALID
83_1140115_silhouette_type,INVALID
86_1221756_silhouette_type,Cargo
83_1162124_silhouette_type,Boyfriend
84_1173398_silhouette_type,INVALID
85_1225228_silhouette_type,INVALID
82_1092178_silhouette_type,INVALID
83_1136602_silhouette_type,INVALID
86_1225117_silhouette_type,Cargo
81_1079141_silhouette_type,INVALID
83_1117346_silhouette_type,Evase
