cod_modelo_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure,des_filename
81_1034451,,,,,,17,34,1,,,,81_1034451_77010000-99_B.jpg
81_1034451,,,,,,17,34,1,,,,81_1034451_77010000-99_.jpg
81_1034525,,,,,,17,34,1,,,,81_1034525_77030001-30_.jpg
81_1034525,,,,,,17,34,1,,,,81_1034525_77030001-30_B.jpg
81_1035318,,,,,5,,,,,,,81_1035318_77004377-09_.jpg
81_1035318,,,,,5,,,,,,,81_1035318_77004377-09_B.jpg
81_1035321,,,,,5,,,,,,,81_1035321_77004377-99_B.jpg
81_1035321,,,,,5,,,,,,,81_1035321_77004377-99_.jpg
81_1035361,,,,,5,7,,,,,,81_1035361_77004378-69_B.jpg
81_1035361,,,,,5,7,,,,,,81_1035361_77004378-69_.jpg
81_1035377,,,,,5,7,,,,,,81_1035377_77004378-09_B.jpg
81_1035377,,,,,5,7,,,,,,81_1035377_77004378-09_.jpg
81_1035381,,,,,5,7,,,,,,81_1035381_77004378-37_.jpg
81_1035381,,,,,5,7,,,,,,81_1035381_77004378-37_B.jpg
81_1035406,,,,,5,,,,,,,81_1035406_77004377-69_.jpg
81_1035406,,,,,5,,,,,,,81_1035406_77004377-69_B.jpg
81_1035413,,,,,3,,,,,,,81_1035413_77000502-37_.jpg
81_1035413,,,,,3,,,,,,,81_1035413_77000502-37_B.jpg
81_1035440,,,,,3,,,,,,,81_1035440_77000502-CG_.jpg
81_1035440,,,,,3,,,,,,,81_1035440_77000502-CG_B.jpg
81_1035532,,,,,3,,,,,,,81_1035532_77000502-56_.jpg
81_1035532,,,,,3,,,,,,,81_1035532_77000502-56_B.jpg
81_1038074,,,,,,26,37,,,,,81_1038074_77050011-56_B.jpg
81_1038074,,,,,,26,37,,,,,81_1038074_77050011-56_.jpg
81_1038076,,,,,10,,37,,,,,81_1038076_77010016-92_.jpg
81_1038076,,,,,10,,37,,,,,81_1038076_77010016-92_B.jpg
81_1038110,,,,,10,,,,,,,81_1038110_77010022-92_B.jpg
81_1038110,,,,,10,,,,,,,81_1038110_77010022-92_.jpg
81_1038192,,,,,,26,,,,,,81_1038192_77000016-92_B.jpg
81_1038192,,,,,,26,,,,,,81_1038192_77000016-92_.jpg
81_1038203,,,,,10,,37,,,,,81_1038203_77050019-55_.jpg
81_1038203,,,,,10,,37,,,,,81_1038203_77050019-55_B.jpg
81_1038212,,,,,,26,37,,,,,81_1038212_77000014-55_.jpg
81_1038212,,,,,,26,37,,,,,81_1038212_77000014-55_B.jpg
81_1038269,,,,,10,,37,,,,,81_1038269_77000020-69_.jpg
81_1038269,,,,,10,,37,,,,,81_1038269_77000020-69_B.jpg
81_1038277,,,,,,26,,,,,,81_1038277_77050017-99_.jpg
81_1038277,,,,,,26,,,,,,81_1038277_77050017-99_B.jpg
81_1038307,,,,,10,,,,,,,81_1038307_77020025-99_.jpg
81_1038307,,,,,10,,,,,,,81_1038307_77020025-99_B.jpg
81_1038320,,,,,,26,37,,,,,81_1038320_77030015-69_.jpg
81_1038320,,,,,,26,37,,,,,81_1038320_77030015-69_B.jpg
81_1038327,,,,,10,,37,,,,,81_1038327_77000018-56_.jpg
81_1038327,,,,,10,,37,,,,,81_1038327_77000018-56_B.jpg
81_1038354,,,,,,26,37,,,,,81_1038354_77010010-92_.jpg
